Edge_ID,From_Node,From_Node_Name,To_Node,To_Node_Name,Mode,country,Distance,Cost_c1,Cost_c2,Time,Carbon,Capacity
E104,N13,阿拉山口,N19,阿雷西,1,,1484,0,14,16.5,0.00151,100000
E105,N14,霍尔果斯,N18,扎雷克,1,,1233,0,14,13.7,0.00151,100000
E106,N14,霍尔果斯,N19,阿雷西,1,,1092,0,14,12.1,0.00151,100000
E107,N15,喀什,N20,安集延,1,,549.8,0,14,6.1,0.00151,100000
E108,N11,满洲里,N17,乌兰乌德,3,俄罗斯,1017,0,3.4,24.2,0.000902,100000
E109,N12,二连浩特,G1,纳乌什基,3,独联体,1110,0,4.76,26.4,0.000902,100000
E110,G1,纳乌什基,N17,乌兰乌德,3,俄罗斯,267,0,3.4,6.4,0.000902,100000
E111,N13,阿拉山口,N18,扎雷克,3,独联体,1048.3,0,4.76,25,0.000902,100000
E112,N13,阿拉山口,N19,阿雷西,3,独联体,1682.6,0,4.76,40.1,0.000902,100000
E113,N14,霍尔果斯,N18,扎雷克,3,独联体,1523,0,4.76,36.3,0.000902,100000
E114,N14,霍尔果斯,N19,阿雷西,3,独联体,1147.5,0,4.76,27.3,0.000902,100000
E115,N17,乌兰乌德,N21,莫斯科,1,,5595,0,14,62.2,0.00151,100000
E116,N18,扎雷克,N21,莫斯科,1,,3098,0,14,34.4,0.00151,100000
E117,N19,阿雷西,N21,莫斯科,1,,3231,0,14,35.9,0.00151,100000
E118,N18,扎雷克,N22,阿克套,1,,3033,0,14,33.7,0.00151,100000
E119,N19,阿雷西,N22,阿克套,1,,2202,0,14,24.5,0.00151,100000
E120,N18,扎雷克,N23,土库曼巴希,1,,3299,0,14,36.7,0.00151,100000
E121,N20,安集延,N23,土库曼巴希,1,,2166,0,14,24.1,0.00151,100000
E122,N20,安集延,N24,德黑兰,1,,2461,0,14,27.3,0.00151,100000
E123,N19,阿雷西,N23,土库曼巴希,1,,2008,0,14,22.3,0.00151,100000
E124,N19,阿雷西,N24,德黑兰,1,,2390,0,14,26.6,0.00151,100000
E125,N17,乌兰乌德,N21,莫斯科,3,俄罗斯,5571,0,3.4,132.6,0.000902,100000
E126,N18,扎雷克,G2,依列茨克-卡尼赛,3,独联体,1861,0,4.76,44.3,0.000902,100000
E127,G2,依列茨克-卡尼赛,N21,莫斯科,3,俄罗斯,1629,0,3.4,38.8,0.000902,100000
E128,N19,阿雷西,G2,依列茨克-卡尼赛,3,独联体,1518,0,4.76,36.1,0.000902,100000
E129,N18,扎雷克,N22,阿克套,3,独联体,2033,0,4.76,48.4,0.000902,100000
E130,N19,阿雷西,N22,阿克套,3,独联体,1963.7,0,4.76,46.8,0.000902,100000
E131,N22,阿克套,G3,巴拉沙克（哈）-谢尔赫佳卡（土）,3,独联体,301,0,4.76,7.2,0.000902,100000
E132,G3,巴拉沙克（哈）-谢尔赫佳卡（土）,N23,土库曼巴希,3,非独联体,704.6,0,4.9,16.8,0.000902,100000
E133,N20,安集延,G4,法拉普（土）-霍贾达弗里亚特（乌）,3,独联体,876.8,0,4.76,20.9,0.000902,100000
E134,G4,法拉普（土）-霍贾达弗里亚特（乌）,N23,土库曼巴希,3,非独联体,1156.3,0,4.9,27.5,0.000902,100000
E135,G4,法拉普（土）-霍贾达弗里亚特（乌）,G5,谢拉赫斯（土）-萨拉赫斯（伊）,3,非独联体,453,0,4.9,10.8,0.000902,100000
E136,G5,谢拉赫斯（土）-萨拉赫斯（伊）,N24,德黑兰,3,非独联体,1047,0,4.9,24.9,0.000902,100000
E137,N19,阿雷西,G4,法拉普（土）-霍贾达弗里亚特（乌）,3,独联体,821.6,0,4.76,19.6,0.000902,100000
E138,N22,阿克套,N25,巴库,4,非国内,380.32,0,1.005,15.2,0.000275,100000
E139,N23,土库曼巴希,N25,巴库,4,非国内,262.5,0,1.005,10.5,0.000275,100000
